LBound	RBound	NodeID	ParentID	NodeName
1229	1230	618	617	Granite Belt
1231	1232	619	617	South Burnett
1235	1236	621	620	Adelaide Hills
1237	1238	622	620	Adelaide Plains
1239	1240	623	620	Barossa Valley
1241	1242	624	620	Clare Valley
1243	1244	625	620	Coonawarra
1245	1246	626	620	Eden Valley
1247	1248	627	620	Kangaroo Island
1249	1250	628	620	Langhorne Creek
1251	1252	629	620	McLaren Vale
1253	1254	630	620	Mount Benson
1255	1256	631	620	Padthaway
1257	1258	632	620	Riverland
1259	1260	633	620	Southern Fleurieu
1261	1262	634	620	Southern Flinders Ranges
1263	1264	635	620	Wrattonbully
1267	1268	637	636	Coal River Valley
1269	1270	638	636	Tamar Valley
1273	1274	640	639	Alpine Valley
1275	1276	641	639	Beechworth
1277	1278	642	639	Bendigo
1279	1280	643	639	Geelong
1281	1282	644	639	Gippsland
1283	1284	645	639	Glenrowan
1285	1286	646	639	Goulburn Valley
1287	1288	647	639	Grampians
1289	1290	648	639	Heathcote
1291	1292	649	639	Henty
1293	1294	650	639	King Valley
1295	1296	651	639	Macedon Ranges
1297	1298	652	639	Mornington Peninsula
1299	1300	653	639	Murray Darling
1301	1302	654	639	Pyrenees
1303	1304	655	639	Rutherglen
1305	1306	656	639	Strathbogie Ranges
1307	1308	657	639	Sunbury
1309	1310	658	639	Swan Hill
1311	1312	659	639	Upper Goulburn
1313	1314	660	639	Yarra Valley
1317	1318	662	661	Blackwood Valley
1319	1320	663	661	Geographe
1321	1322	664	661	Great Southern
1323	1324	665	661	Manjimup
1325	1326	666	661	Margaret River
1327	1328	667	661	Peel
1329	1330	668	661	Pemberton
1331	1332	669	661	Perth Hills
1333	1334	670	661	Swan District
1339	1340	673	672	Henderson
1341	1342	674	672	Kumeu
1343	1344	675	672	Waiheke Island
1349	1350	678	677	Waipara
1359	1360	683	682	Blenheim
1361	1362	684	682	Cloudy Bay
1363	1364	685	682	Renwick
1365	1366	686	682	Seddon
1373	1374	690	689	Te Kauwhata
1377	1378	692	691	Martinborough
392	393	199	198	Čazma
394	395	200	198	Voloder - Ivanić Grad
398	399	202	201	Krašić
400	401	203	201	Ozalj
402	403	204	201	Plešivica - Okić
404	405	205	201	Samobor
406	407	206	201	Sveta Jana
410	411	208	207	Baranja
412	413	209	207	Erdut
414	415	210	207	Srijem
418	419	212	211	Karlovac
420	421	213	211	Petrinja
422	423	214	211	Vukomeričke gorice
426	427	216	215	Bilogora
428	429	217	215	Dugo Selo - Vrbovec
430	431	218	215	Kalnik
432	433	219	215	Koprivnica - Đurđevac
434	435	220	215	Zagreb
436	437	221	215	Zelina
440	441	223	222	Đakovo
442	443	224	222	Daruvar
444	445	225	222	Feričanci
446	447	226	222	Kutjevo
448	449	227	222	Nova Gradiška
450	451	228	222	Orahovica - Slatina
452	453	229	222	Pakrac
454	455	230	222	Požega - Pleternica
456	457	231	222	Slavonski Brod
458	459	232	222	Virovitica
462	463	234	233	Krapina
464	465	235	233	Ludbreg
466	467	236	233	Međimurje
468	469	237	233	Varaždin
470	471	238	233	Zabok
472	473	239	233	Zlatar
478	479	242	241	Imotski
480	481	243	241	Sinj - Vrlika
482	483	244	241	Vrgorac
486	487	246	245	Cres - Lošinj
488	489	247	245	Krk
490	491	248	245	Opatija - Rijeka
492	493	249	245	Pag
494	495	250	245	Rab
498	499	252	251	Centralna Istra
500	501	253	251	Istočna Istra
502	503	254	251	Zapadna Istra
506	507	256	255	Benkovac - Stankovci
508	509	257	255	Drniš
510	511	258	255	Knin
512	513	259	255	Pirovac - Skradin
514	515	260	255	Primošten
516	517	261	255	Promina
518	519	262	255	Šibenik
520	521	263	255	Zadar - Biograd
524	525	265	264	Brač
526	527	266	264	Hvar
528	529	267	264	Kaštela - Trogir
530	531	268	264	Konavle
532	533	269	264	Korčula
534	535	270	264	Lastovo
536	537	271	264	Mljet
538	539	272	264	Neretva
540	541	273	264	Pelješac
542	543	274	264	Šolta
544	545	275	264	Split - Omiš - Makarska
546	547	276	264	Vis
566	567	286	285	Bas-Graves
568	569	287	285	Pessac-Leognan
572	581	289	288	Bas-Médoc
582	587	294	288	Haut-Médoc
592	593	299	298	Lussac
594	595	300	298	Montagne
596	597	301	298	Puisseguin
598	599	302	298	Saint-Georges
602	603	304	303	Barsac
604	605	305	303	Bommes
606	607	306	303	Fargues-de-Langon
608	609	307	303	Haut-Sauternes
610	611	308	303	Preignac
624	625	315	314	Beaune
626	627	316	314	Côte de Beaune
628	629	317	314	Côte de Nuits
630	631	318	314	Gevrey-Chambertin
632	633	319	314	Meursault
634	635	320	314	Nuits-Saint-Georges
650	651	328	327	Anjou
652	653	329	327	Saumur
770	771	388	387	Zitsa
774	775	390	389	Ankhialos
776	777	391	389	Rapsani
573	574	290	289	Listrac
575	576	291	289	Pauillac
577	578	292	289	Saint-Estèphe
579	580	293	289	Saint-Julien
583	584	295	294	Margaux
585	586	296	294	Moulis
